Data,Casos,id,Municipio,Estado
2018-01-21,22,"3300100",ANGRA DOS REIS,RJ
2018-01-28,7,"3300100",ANGRA DOS REIS,RJ
2018-02-04,12,"3300100",ANGRA DOS REIS,RJ
2018-02-11,3,"3300100",ANGRA DOS REIS,RJ
2018-02-18,3,"3300100",ANGRA DOS REIS,RJ
2018-02-25,8,"3300100",ANGRA DOS REIS,RJ
2018-03-04,10,"3300100",ANGRA DOS REIS,RJ
2018-03-11,1,"3300100",ANGRA DOS REIS,RJ
2018-03-18,5,"3300100",ANGRA DOS REIS,RJ
2018-03-25,1,"3300100",ANGRA DOS REIS,RJ
2018-04-01,2,"3300100",ANGRA DOS REIS,RJ
2018-04-04,1,"3300100",ANGRA DOS REIS,RJ
2018-04-15,1,"3300100",ANGRA DOS REIS,RJ
2018-04-22,1,"3300100",ANGRA DOS REIS,RJ
2018-04-29,1,"3300100",ANGRA DOS REIS,RJ
2018-05-06,1,"3300100",ANGRA DOS REIS,RJ
2018-05-13,8,"3300100",ANGRA DOS REIS,RJ
2018-05-20,3,"3300100",ANGRA DOS REIS,RJ
2018-05-27,2,"3300100",ANGRA DOS REIS,RJ
2018-06-03,3,"3300100",ANGRA DOS REIS,RJ
2018-06-10,2,"3300100",ANGRA DOS REIS,RJ
2018-06-17,1,"3300100",ANGRA DOS REIS,RJ
2018-07-01,1,"3300100",ANGRA DOS REIS,RJ
2018-07-08,2,"3300100",ANGRA DOS REIS,RJ
2018-07-15,0,"3300100",ANGRA DOS REIS,RJ
2018-07-22,0,"3300100",ANGRA DOS REIS,RJ
2018-07-29,1,"3300100",ANGRA DOS REIS,RJ
2018-08-05,1,"3300100",ANGRA DOS REIS,RJ
2018-08-12,3,"3300100",ANGRA DOS REIS,RJ
2018-08-19,1,"3300100",ANGRA DOS REIS,RJ
2018-08-26,0,"3300100",ANGRA DOS REIS,RJ
2018-09-02,1,"3300100",ANGRA DOS REIS,RJ
2018-09-09,3,"3300100",ANGRA DOS REIS,RJ
